Date,Product,Category,Units Sold,Revenue,Cost,Returns,Customer Acquisition Cost,Average Order Value
2024-01-05,Mechanical Keyboard RGB,Peripherals,9,1052.92,495,1,199.91,116.99
2024-01-05,Gaming Mouse Pro,Peripherals,13,909.87,364,1,291.56,69.99
2024-01-05,Webcam 4K,Peripherals,8,719.92,320,0,93.07,89.99
2024-01-05,Portable SSD 1TB,Storage,10,1199.9,600,0,144.43,119.99
2024-01-05,Phone Case Premium,Accessories,24,599.76,192,1,511.9,24.99
2024-01-05,Screen Protector 3-Pack,Accessories,29,434.71,116,2,703.96,14.99
2024-01-05,Wireless Charger Fast,Accessories,17,594.83,204,1,343.62,34.99
2024-01-05,Bluetooth Speaker,Audio,12,719.88,300,0,293.62,59.99
2024-01-05,Noise Cancelling Headphones,Audio,6,1199.94,540,0,124.29,199.99
2024-01-05,Tablet Stand Adjustable,Accessories,15,404.87,150,1,248.23,26.99
2024-01-05,Cable Organizer Set,Accessories,21,419.79,126,0,511.0,19.99
2024-01-06,Wireless Earbuds Pro,Audio,9,719.91,315,0,175.31,79.99
2024-01-06,Laptop Stand Premium,Accessories,7,349.93,126,0,85.3,49.99
2024-01-06,USB-C Hub 7-in-1,Accessories,12,479.88,180,1,181.52,39.99
2024-01-06,Mechanical Keyboard RGB,Peripherals,6,779.94,330,0,143.34,129.99
2024-01-06,Gaming Mouse Pro,Peripherals,8,559.92,224,0,96.46,69.99
2024-01-06,Webcam 4K,Peripherals,5,449.95,200,0,65.5,89.99
2024-01-06,Portable SSD 1TB,Storage,6,719.94,360,0,55.4,119.99
2024-01-06,Phone Case Premium,Accessories,15,374.85,120,2,374.0,24.99
2024-01-06,Screen Protector 3-Pack,Accessories,18,242.84,72,0,225.15,13.49
2024-01-06,Wireless Charger Fast,Accessories,11,384.89,132,1,252.42,34.99
2024-01-06,Bluetooth Speaker,Audio,7,419.93,175,0,155.22,59.99
2024-01-06,Noise Cancelling Headphones,Audio,4,799.96,360,0,76.47,199.99
2024-01-06,Tablet Stand Adjustable,Accessories,9,242.92,90,1,117.8,26.99
2024-01-06,Cable Organizer Set,Accessories,13,259.87,78,1,133.68,19.99
2024-01-07,Wireless Earbuds Pro,Audio,9,719.91,315,0,113.67,79.99
2024-01-07,Smart Watch Ultra,Wearables,4,1199.96,600,0,75.13,299.99
2024-01-07,Laptop Stand Premium,Accessories,7,349.93,126,0,163.74,49.99
2024-01-07,USB-C Hub 7-in-1,Accessories,12,479.88,180,0,182.41,39.99
2024-01-07,Mechanical Keyboard RGB,Peripherals,6,779.94,330,0,126.65,129.99
2024-01-07,Gaming Mouse Pro,Peripherals,8,559.92,224,0,164.81,69.99
2024-01-07,Webcam 4K,Peripherals,5,449.95,200,0,40.82,89.99
2024-01-07,Portable SSD 1TB,Storage,6,647.95,360,0,140.2,107.99
2024-01-07,Phone Case Premium,Accessories,15,374.85,120,1,268.54,24.99
2024-01-07,Screen Protector 3-Pack,Accessories,18,269.82,72,0,238.33,14.99
2024-01-07,Wireless Charger Fast,Accessories,11,384.89,132,1,248.95,34.99
2024-01-07,Bluetooth Speaker,Audio,8,479.92,200,0,97.94,59.99
2024-01-07,Tablet Stand Adjustable,Accessories,9,269.91,90,1,134.18,29.99
2024-01-07,Cable Organizer Set,Accessories,13,259.87,78,0,309.5,19.99
2024-01-08,Wireless Earbuds Pro,Audio,16,1279.84,560,2,367.75,79.99
2024-01-08,Smart Watch Ultra,Wearables,8,2159.93,1200,0,109.18,269.99
2024-01-08,Laptop Stand Premium,Accessories,13,649.87,234,1,294.96,49.99
2024-01-08,USB-C Hub 7-in-1,Accessories,22,879.78,330,1,470.48,39.99
2024-01-08,Mechanical Keyboard RGB,Peripherals,11,1429.89,605,1,248.56,129.99
2024-01-08,Gaming Mouse Pro,Peripherals,15,1049.85,420,1,237.38,69.99
2024-01-08,Webcam 4K,Peripherals,9,809.91,360,1,106.82,89.99
2024-01-08,Portable SSD 1TB,Storage,12,1295.89,720,0,162.97,107.99
2024-01-08,Phone Case Premium,Accessories,27,674.73,216,3,344.12,24.99
2024-01-08,Screen Protector 3-Pack,Accessories,33,494.67,132,2,814.42,14.99
2024-01-08,Wireless Charger Fast,Accessories,19,664.81,228,2,189.26,34.99
2024-01-08,Bluetooth Speaker,Audio,14,839.86,350,0,341.08,59.99
2024-01-08,Noise Cancelling Headphones,Audio,7,1399.93,630,0,107.71,199.99
2024-01-08,Tablet Stand Adjustable,Accessories,17,509.83,170,1,311.19,29.99
2024-01-08,Cable Organizer Set,Accessories,24,479.76,144,1,427.25,19.99
2024-01-09,Wireless Earbuds Pro,Audio,13,1039.87,455,0,308.55,79.99
2024-01-09,Smart Watch Ultra,Wearables,7,2099.93,1050,0,144.29,299.99
2024-01-09,Laptop Stand Premium,Accessories,11,549.89,198,0,101.09,49.99
2024-01-09,USB-C Hub 7-in-1,Accessories,18,719.82,270,1,240.06,39.99
2024-01-09,Mechanical Keyboard RGB,Peripherals,9,1169.91,495,1,117.95,129.99
2024-01-09,Gaming Mouse Pro,Peripherals,12,839.88,336,0,178.09,69.99
2024-01-09,Webcam 4K,Peripherals,8,719.92,320,0,121.18,89.99
2024-01-09,Portable SSD 1TB,Storage,10,1199.9,600,1,233.48,119.99
2024-01-09,Phone Case Premium,Accessories,23,574.77,184,1,398.24,24.99
2024-01-09,Screen Protector 3-Pack,Accessories,27,364.26,108,1,413.32,13.49
2024-01-09,Wireless Charger Fast,Accessories,16,559.84,192,1,254.48,34.99
2024-01-09,Bluetooth Speaker,Audio,12,719.88,300,0,192.53,59.99
2024-01-09,Noise Cancelling Headphones,Audio,6,1199.94,540,0,65.31,199.99
2024-01-09,Tablet Stand Adjustable,Accessories,14,377.87,140,1,262.64,26.99
2024-01-09,Cable Organizer Set,Accessories,20,399.8,120,2,415.39,19.99
2024-01-10,Wireless Earbuds Pro,Audio,15,1199.85,525,0,126.23,79.99
2024-01-10,Smart Watch Ultra,Wearables,8,2399.92,1200,0,179.56,299.99
2024-01-10,Laptop Stand Premium,Accessories,12,539.89,216,0,224.47,44.99
2024-01-10,USB-C Hub 7-in-1,Accessories,21,839.79,315,2,344.49,39.99
2024-01-10,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,1,80.94,129.99
2024-01-10,Gaming Mouse Pro,Peripherals,14,979.86,392,1,137.37,69.99
2024-01-10,Webcam 4K,Peripherals,9,809.91,360,0,218.57,89.99
2024-01-10,Portable SSD 1TB,Storage,11,1319.89,660,0,134.6,119.99
2024-01-10,Phone Case Premium,Accessories,26,649.74,208,2,562.23,24.99
2024-01-10,Screen Protector 3-Pack,Accessories,31,464.69,124,4,561.8,14.99
2024-01-10,Wireless Charger Fast,Accessories,18,629.82,216,2,331.47,34.99
2024-01-10,Bluetooth Speaker,Audio,13,779.87,325,1,287.56,59.99
2024-01-10,Noise Cancelling Headphones,Audio,7,1399.93,630,0,144.49,199.99
2024-01-10,Tablet Stand Adjustable,Accessories,16,479.84,160,0,195.25,29.99
2024-01-10,Cable Organizer Set,Accessories,23,459.77,138,2,387.83,19.99
2024-01-11,Wireless Earbuds Pro,Audio,15,1199.85,525,0,192.86,79.99
2024-01-11,Smart Watch Ultra,Wearables,8,2399.92,1200,0,137.46,299.99
2024-01-11,Laptop Stand Premium,Accessories,12,599.88,216,0,237.57,49.99
2024-01-11,USB-C Hub 7-in-1,Accessories,20,799.8,300,0,298.58,39.99
2024-01-11,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,0,115.16,129.99
2024-01-11,Gaming Mouse Pro,Peripherals,14,979.86,392,1,251.01,69.99
2024-01-11,Webcam 4K,Peripherals,9,809.91,360,1,189.14,89.99
2024-01-11,Portable SSD 1TB,Storage,11,1319.89,660,0,153.78,119.99
2024-01-11,Phone Case Premium,Accessories,25,624.75,200,3,605.21,24.99
2024-01-11,Screen Protector 3-Pack,Accessories,31,464.69,124,3,535.81,14.99
2024-01-11,Wireless Charger Fast,Accessories,18,629.82,216,0,211.14,34.99
2024-01-11,Bluetooth Speaker,Audio,13,779.87,325,0,178.28,59.99
2024-01-11,Noise Cancelling Headphones,Audio,7,1399.93,630,0,75.64,199.99
2024-01-11,Tablet Stand Adjustable,Accessories,16,479.84,160,0,297.25,29.99
2024-01-11,Cable Organizer Set,Accessories,22,395.8,132,1,387.08,17.99
2024-01-12,Wireless Earbuds Pro,Audio,12,959.88,420,0,190.19,79.99
2024-01-12,Smart Watch Ultra,Wearables,6,1619.95,900,0,69.59,269.99
2024-01-12,Laptop Stand Premium,Accessories,10,499.9,180,1,144.45,49.99
2024-01-12,USB-C Hub 7-in-1,Accessories,17,679.83,255,2,208.91,39.99
2024-01-12,Mechanical Keyboard RGB,Peripherals,8,935.93,440,0,137.36,116.99
2024-01-12,Gaming Mouse Pro,Peripherals,12,839.88,336,0,228.63,69.99
2024-01-12,Webcam 4K,Peripherals,7,629.93,280,0,145.75,89.99
2024-01-12,Portable SSD 1TB,Storage,9,1079.91,540,0,75.12,119.99
2024-01-12,Phone Case Premium,Accessories,21,524.79,168,0,407.0,24.99
2024-01-12,Screen Protector 3-Pack,Accessories,25,374.75,100,1,497.27,14.99
2024-01-12,Wireless Charger Fast,Accessories,15,524.85,180,0,274.85,34.99
2024-01-12,Bluetooth Speaker,Audio,11,659.89,275,0,241.21,59.99
2024-01-12,Noise Cancelling Headphones,Audio,6,1199.94,540,0,50.62,199.99
2024-01-12,Tablet Stand Adjustable,Accessories,13,389.87,130,1,315.76,29.99
2024-01-12,Cable Organizer Set,Accessories,18,359.82,108,2,167.25,19.99
2024-01-13,Wireless Earbuds Pro,Audio,11,879.89,385,0,232.45,79.99
2024-01-13,Smart Watch Ultra,Wearables,5,1499.95,750,0,50.29,299.99
2024-01-13,Laptop Stand Premium,Accessories,8,399.92,144,0,111.22,49.99
2024-01-13,USB-C Hub 7-in-1,Accessories,14,559.86,210,0,232.42,39.99
2024-01-13,Mechanical Keyboard RGB,Peripherals,7,909.93,385,0,153.86,129.99
2024-01-13,Gaming Mouse Pro,Peripherals,10,699.9,280,1,188.05,69.99
2024-01-13,Webcam 4K,Peripherals,6,539.94,240,0,92.42,89.99
2024-01-13,Portable SSD 1TB,Storage,8,959.92,480,1,100.73,119.99
2024-01-13,Phone Case Premium,Accessories,18,449.82,144,1,291.95,24.99
2024-01-13,Screen Protector 3-Pack,Accessories,22,329.78,88,2,276.38,14.99
2024-01-13,Wireless Charger Fast,Accessories,13,454.87,156,1,123.15,34.99
2024-01-13,Bluetooth Speaker,Audio,9,539.91,225,0,143.1,59.99
2024-01-13,Noise Cancelling Headphones,Audio,5,999.95,450,0,42.44,199.99
2024-01-13,Tablet Stand Adjustable,Accessories,11,329.89,110,0,127.67,29.99
2024-01-13,Cable Organizer Set,Accessories,16,319.84,96,1,367.45,19.99
2024-01-14,Wireless Earbuds Pro,Audio,11,879.89,385,0,265.29,79.99
2024-01-14,Smart Watch Ultra,Wearables,5,1349.96,750,0,81.53,269.99
2024-01-14,Laptop Stand Premium,Accessories,8,399.92,144,0,151.84,49.99
2024-01-14,USB-C Hub 7-in-1,Accessories,14,559.86,210,1,134.15,39.99
2024-01-14,Mechanical Keyboard RGB,Peripherals,7,909.93,385,0,92.44,129.99
2024-01-14,Gaming Mouse Pro,Peripherals,10,699.9,280,0,170.26,69.99
2024-01-14,Webcam 4K,Peripherals,6,539.94,240,0,81.74,89.99
2024-01-14,Portable SSD 1TB,Storage,8,959.92,480,0,98.19,119.99
2024-01-14,Phone Case Premium,Accessories,18,449.82,144,0,180.58,24.99
2024-01-14,Screen Protector 3-Pack,Accessories,22,329.78,88,2,245.25,14.99
2024-01-14,Wireless Charger Fast,Accessories,13,454.87,156,1,264.13,34.99
2024-01-14,Bluetooth Speaker,Audio,9,539.91,225,0,115.3,59.99
2024-01-14,Noise Cancelling Headphones,Audio,5,999.95,450,0,59.34,199.99
2024-01-14,Tablet Stand Adjustable,Accessories,11,329.89,110,0,187.88,29.99
2024-01-14,Cable Organizer Set,Accessories,16,319.84,96,2,278.51,19.99
2024-01-15,Wireless Earbuds Pro,Audio,15,1199.85,525,1,245.17,79.99
2024-01-15,Smart Watch Ultra,Wearables,8,2399.92,1200,0,127.84,299.99
2024-01-15,Laptop Stand Premium,Accessories,12,599.88,216,0,106.48,49.99
2024-01-15,USB-C Hub 7-in-1,Accessories,21,839.79,315,1,461.5,39.99
2024-01-15,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,0,187.01,129.99
2024-01-15,Gaming Mouse Pro,Peripherals,14,881.87,392,0,245.96,62.99
2024-01-15,Webcam 4K,Peripherals,9,809.91,360,1,90.12,89.99
2024-01-15,Portable SSD 1TB,Storage,11,1319.89,660,1,235.87,119.99
2024-01-15,Phone Case Premium,Accessories,26,649.74,208,2,407.13,24.99
2024-01-15,Screen Protector 3-Pack,Accessories,31,464.69,124,4,769.75,14.99
2024-01-15,Wireless Charger Fast,Accessories,19,664.81,228,1,348.91,34.99
2024-01-15,Bluetooth Speaker,Audio,13,779.87,325,1,149.92,59.99
2024-01-15,Noise Cancelling Headphones,Audio,7,1399.93,630,0,74.69,199.99
2024-01-15,Tablet Stand Adjustable,Accessories,16,479.84,160,0,128.73,29.99
2024-01-15,Cable Organizer Set,Accessories,23,459.77,138,2,297.88,19.99
2024-01-16,Wireless Earbuds Pro,Audio,13,1039.87,455,1,204.34,79.99
2024-01-16,Smart Watch Ultra,Wearables,7,2099.93,1050,0,149.75,299.99
2024-01-16,Laptop Stand Premium,Accessories,11,549.89,198,1,262.6,49.99
2024-01-16,USB-C Hub 7-in-1,Accessories,18,719.82,270,1,342.18,39.99
2024-01-16,Mechanical Keyboard RGB,Peripherals,9,1169.91,495,1,82.93,129.99
2024-01-16,Gaming Mouse Pro,Peripherals,12,839.88,336,0,248.79,69.99
2024-01-16,Webcam 4K,Peripherals,8,719.92,320,0,80.91,89.99
2024-01-16,Portable SSD 1TB,Storage,10,1199.9,600,1,240.25,119.99
2024-01-16,Phone Case Premium,Accessories,22,549.78,176,1,206.09,24.99
2024-01-16,Screen Protector 3-Pack,Accessories,27,364.26,108,2,363.95,13.49
2024-01-16,Wireless Charger Fast,Accessories,16,559.84,192,0,389.64,34.99
2024-01-16,Bluetooth Speaker,Audio,11,659.89,275,1,265.8,59.99
2024-01-16,Noise Cancelling Headphones,Audio,6,1199.94,540,0,75.49,199.99
2024-01-16,Tablet Stand Adjustable,Accessories,14,377.87,140,1,223.98,26.99
2024-01-16,Cable Organizer Set,Accessories,20,399.8,120,2,221.71,19.99
2024-01-17,Wireless Earbuds Pro,Audio,15,1199.85,525,1,143.27,79.99
2024-01-17,Smart Watch Ultra,Wearables,8,2399.92,1200,0,155.14,299.99
2024-01-17,Laptop Stand Premium,Accessories,12,599.88,216,0,237.51,49.99
2024-01-17,USB-C Hub 7-in-1,Accessories,20,799.8,300,2,436.61,39.99
2024-01-17,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,0,133.47,129.99
2024-01-17,Gaming Mouse Pro,Peripherals,14,979.86,392,2,208.19,69.99
2024-01-17,Webcam 4K,Peripherals,9,809.91,360,1,172.62,89.99
2024-01-17,Portable SSD 1TB,Storage,11,1319.89,660,0,123.08,119.99
2024-01-17,Phone Case Premium,Accessories,25,624.75,200,2,465.8,24.99
2024-01-17,Screen Protector 3-Pack,Accessories,30,449.7,120,1,520.1,14.99
2024-01-17,Wireless Charger Fast,Accessories,18,629.82,216,1,357.66,34.99
2024-01-17,Bluetooth Speaker,Audio,13,779.87,325,1,238.56,59.99
2024-01-17,Noise Cancelling Headphones,Audio,7,1399.93,630,0,121.55,199.99
2024-01-17,Tablet Stand Adjustable,Accessories,16,479.84,160,0,397.89,29.99
2024-01-17,Cable Organizer Set,Accessories,22,439.78,132,1,219.93,19.99
2024-01-18,Wireless Earbuds Pro,Audio,16,1279.84,560,1,266.41,79.99
2024-01-18,Smart Watch Ultra,Wearables,8,2399.92,1200,1,197.31,299.99
2024-01-18,Laptop Stand Premium,Accessories,13,649.87,234,1,188.77,49.99
2024-01-18,USB-C Hub 7-in-1,Accessories,21,839.79,315,1,481.92,39.99
2024-01-18,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,0,214.3,129.99
2024-01-18,Gaming Mouse Pro,Peripherals,15,1049.85,420,2,249.47,69.99
2024-01-18,Webcam 4K,Peripherals,9,809.91,360,0,117.68,89.99
2024-01-18,Portable SSD 1TB,Storage,12,1439.88,720,1,195.89,119.99
2024-01-18,Phone Case Premium,Accessories,27,674.73,216,2,374.41,24.99
2024-01-18,Screen Protector 3-Pack,Accessories,32,479.68,128,2,503.71,14.99
2024-01-18,Wireless Charger Fast,Accessories,19,664.81,228,0,377.29,34.99
2024-01-18,Bluetooth Speaker,Audio,14,839.86,350,0,296.58,59.99
2024-01-18,Noise Cancelling Headphones,Audio,7,1259.94,630,0,139.92,179.99
2024-01-18,Tablet Stand Adjustable,Accessories,17,509.83,170,1,327.81,29.99
2024-01-18,Cable Organizer Set,Accessories,24,479.76,144,3,394.09,19.99
2024-01-19,Wireless Earbuds Pro,Audio,12,959.88,420,1,273.42,79.99
2024-01-19,Smart Watch Ultra,Wearables,6,1799.94,900,0,101.65,299.99
2024-01-19,Laptop Stand Premium,Accessories,10,499.9,180,1,149.7,49.99
2024-01-19,USB-C Hub 7-in-1,Accessories,17,679.83,255,0,271.68,39.99
2024-01-19,Mechanical Keyboard RGB,Peripherals,8,1039.92,440,0,158.21,129.99
2024-01-19,Gaming Mouse Pro,Peripherals,12,839.88,336,1,269.88,69.99
2024-01-19,Webcam 4K,Peripherals,7,629.93,280,0,93.68,89.99
2024-01-19,Portable SSD 1TB,Storage,9,1079.91,540,1,205.47,119.99
2024-01-19,Phone Case Premium,Accessories,21,472.31,168,0,393.32,22.49
2024-01-19,Screen Protector 3-Pack,Accessories,25,374.75,100,3,517.38,14.99
2024-01-19,Wireless Charger Fast,Accessories,15,524.85,180,0,281.61,34.99
2024-01-19,Bluetooth Speaker,Audio,11,659.89,275,0,217.78,59.99
2024-01-19,Noise Cancelling Headphones,Audio,6,1199.94,540,0,129.21,199.99
2024-01-19,Tablet Stand Adjustable,Accessories,13,389.87,130,0,136.17,29.99
2024-01-19,Cable Organizer Set,Accessories,18,359.82,108,1,386.51,19.99
2024-01-20,Wireless Earbuds Pro,Audio,9,647.92,315,1,166.82,71.99
2024-01-20,Smart Watch Ultra,Wearables,5,1499.95,750,0,52.17,299.99
2024-01-20,Laptop Stand Premium,Accessories,7,349.93,126,0,86.38,49.99
2024-01-20,USB-C Hub 7-in-1,Accessories,12,431.89,180,1,279.85,35.99
2024-01-20,Mechanical Keyboard RGB,Peripherals,6,779.94,330,0,93.06,129.99
2024-01-20,Gaming Mouse Pro,Peripherals,8,559.92,224,0,150.9,69.99
2024-01-20,Webcam 4K,Peripherals,5,449.95,200,0,111.85,89.99
2024-01-20,Portable SSD 1TB,Storage,6,719.94,360,0,97.29,119.99
2024-01-20,Phone Case Premium,Accessories,15,374.85,120,1,266.58,24.99
2024-01-20,Screen Protector 3-Pack,Accessories,18,269.82,72,1,443.25,14.99
2024-01-20,Wireless Charger Fast,Accessories,11,384.89,132,0,193.83,34.99
2024-01-20,Bluetooth Speaker,Audio,8,479.92,200,0,70.67,59.99
2024-01-20,Noise Cancelling Headphones,Audio,4,799.96,360,0,51.46,199.99
2024-01-20,Tablet Stand Adjustable,Accessories,10,299.9,100,0,139.89,29.99
2024-01-20,Cable Organizer Set,Accessories,13,259.87,78,1,253.79,19.99
2024-01-21,Wireless Earbuds Pro,Audio,11,879.89,385,1,205.48,79.99
2024-01-21,Smart Watch Ultra,Wearables,5,1499.95,750,0,66.26,299.99
2024-01-21,Laptop Stand Premium,Accessories,8,399.92,144,0,163.6,49.99
2024-01-21,USB-C Hub 7-in-1,Accessories,14,503.87,210,0,289.9,35.99
2024-01-21,Mechanical Keyboard RGB,Peripherals,7,909.93,385,0,120.19,129.99
2024-01-21,Gaming Mouse Pro,Peripherals,10,699.9,280,0,235.29,69.99
2024-01-21,Webcam 4K,Peripherals,6,539.94,240,0,132.12,89.99
2024-01-21,Portable SSD 1TB,Storage,8,959.92,480,0,165.53,119.99
2024-01-21,Phone Case Premium,Accessories,18,449.82,144,0,438.65,24.99
2024-01-21,Screen Protector 3-Pack,Accessories,22,329.78,88,3,497.69,14.99
2024-01-21,Wireless Charger Fast,Accessories,13,454.87,156,1,317.77,34.99
2024-01-21,Bluetooth Speaker,Audio,9,539.91,225,0,192.97,59.99
2024-01-21,Noise Cancelling Headphones,Audio,5,899.96,450,0,78.66,179.99
2024-01-21,Tablet Stand Adjustable,Accessories,11,329.89,110,1,197.31,29.99
2024-01-21,Cable Organizer Set,Accessories,16,319.84,96,2,157.47,19.99
2024-01-22,Wireless Earbuds Pro,Audio,13,935.88,455,1,228.07,71.99
2024-01-22,Smart Watch Ultra,Wearables,7,2099.93,1050,0,63.52,299.99
2024-01-22,Laptop Stand Premium,Accessories,11,549.89,198,1,144.51,49.99
2024-01-22,USB-C Hub 7-in-1,Accessories,18,719.82,270,0,433.56,39.99
2024-01-22,Mechanical Keyboard RGB,Peripherals,9,1169.91,495,0,86.87,129.99
2024-01-22,Gaming Mouse Pro,Peripherals,12,839.88,336,0,188.54,69.99
2024-01-22,Webcam 4K,Peripherals,8,719.92,320,0,192.65,89.99
2024-01-22,Portable SSD 1TB,Storage,10,1199.9,600,1,106.27,119.99
2024-01-22,Phone Case Premium,Accessories,23,574.77,184,0,375.33,24.99
2024-01-22,Screen Protector 3-Pack,Accessories,27,404.73,108,3,231.02,14.99
2024-01-22,Wireless Charger Fast,Accessories,16,559.84,192,1,386.55,34.99
2024-01-22,Bluetooth Speaker,Audio,11,659.89,275,0,216.22,59.99
2024-01-22,Noise Cancelling Headphones,Audio,6,1199.94,540,0,84.58,199.99
2024-01-22,Tablet Stand Adjustable,Accessories,14,419.86,140,0,141.07,29.99
2024-01-22,Cable Organizer Set,Accessories,20,399.8,120,1,385.34,19.99
2024-01-23,Wireless Earbuds Pro,Audio,15,1199.85,525,0,320.63,79.99
2024-01-23,Smart Watch Ultra,Wearables,8,2399.92,1200,0,140.78,299.99
2024-01-23,Laptop Stand Premium,Accessories,12,539.89,216,1,138.26,44.99
2024-01-23,USB-C Hub 7-in-1,Accessories,20,799.8,300,2,271.71,39.99
