Date,Campaign,Channel,Ad Spend,Impressions,Clicks,Conversions,Revenue,CPC,CPA,ROAS,CTR,CVR
2024-03-11,LinkedIn Ads - Week 11,LinkedIn Ads,1101.08,22939,663,32,16726.67,1.66,34.41,15.19,2.89,4.83
2024-03-11,Email Marketing - Week 11,Email Marketing,329.74,16486,1141,76,17458.48,0.29,4.34,52.95,6.92,6.66
2024-03-18,Google Ads - Week 12,Google Ads,1404.36,46812,1109,41,13719.99,1.27,34.25,9.77,2.37,3.7
2024-03-18,Facebook Ads - Week 12,Facebook Ads,1647.81,109853,2121,51,8567.19,0.78,32.31,5.2,1.93,2.4
2024-03-18,LinkedIn Ads - Week 12,LinkedIn Ads,1318.4,27466,955,56,35074.96,1.38,23.54,26.6,3.48,5.86
2024-03-18,Email Marketing - Week 12,Email Marketing,260.07,13003,713,37,8144.55,0.36,7.03,31.32,5.48,5.19
2024-03-25,Google Ads - Week 13,Google Ads,1452.47,48415,1192,45,14856.23,1.22,32.28,10.23,2.46,3.78
2024-03-25,Facebook Ads - Week 13,Facebook Ads,2041.11,136074,3271,98,19158.87,0.62,20.83,9.39,2.4,3.0
2024-03-25,LinkedIn Ads - Week 13,LinkedIn Ads,1044.48,21759,602,28,16945.24,1.74,37.3,16.22,2.77,4.65
2024-03-25,Email Marketing - Week 13,Email Marketing,297.51,14875,938,57,12982.99,0.32,5.22,43.64,6.31,6.08
2024-04-01,Google Ads - Week 14,Google Ads,1563.04,52101,1387,57,18726.31,1.13,27.42,11.98,2.66,4.11
2024-04-01,Facebook Ads - Week 14,Facebook Ads,1780.19,118679,2500,65,10897.5,0.71,27.39,6.12,2.11,2.6
2024-04-01,LinkedIn Ads - Week 14,LinkedIn Ads,1298.06,27043,934,54,31545.95,1.39,24.04,24.3,3.45,5.78
2024-04-01,Email Marketing - Week 14,Email Marketing,304.1,15205,984,61,12160.23,0.31,4.99,39.99,6.47,6.2
2024-04-08,Google Ads - Week 15,Google Ads,1430.93,47697,1168,44,13575.89,1.23,32.52,9.49,2.45,3.77
2024-04-08,Facebook Ads - Week 15,Facebook Ads,1894.56,126303,2844,80,14555.93,0.67,23.68,7.68,2.25,2.81
2024-04-08,LinkedIn Ads - Week 15,LinkedIn Ads,1081.55,22532,651,32,18873.5,1.66,33.8,17.45,2.89,4.92
2024-04-08,Email Marketing - Week 15,Email Marketing,282.47,14123,853,49,10663.05,0.33,5.76,37.75,6.04,5.74
2024-04-15,Google Ads - Week 16,Google Ads,1430.82,47694,1173,45,15012.87,1.22,31.8,10.49,2.46,3.84
2024-04-15,Facebook Ads - Week 16,Facebook Ads,1698.82,113254,2298,58,10243.9,0.74,29.29,6.03,2.03,2.52
2024-04-15,LinkedIn Ads - Week 16,LinkedIn Ads,1371.9,28581,1053,66,36960.81,1.3,20.79,26.94,3.68,6.27
2024-04-15,Email Marketing - Week 16,Email Marketing,288.14,14407,892,53,10204.06,0.32,5.44,35.41,6.19,5.94
2024-04-22,Google Ads - Week 17,Google Ads,1304.95,43498,980,34,10523.11,1.33,38.38,8.06,2.25,3.47
2024-04-22,Facebook Ads - Week 17,Facebook Ads,1558.2,103880,1942,45,8669.72,0.8,34.63,5.56,1.87,2.32
2024-04-22,LinkedIn Ads - Week 17,LinkedIn Ads,1036.98,21603,604,28,15618.05,1.72,37.04,15.06,2.8,4.64
2024-04-22,Email Marketing - Week 17,Email Marketing,263.35,13167,748,41,8520.86,0.35,6.42,32.36,5.68,5.48
2024-04-29,Google Ads - Week 18,Google Ads,1413.27,47108,1155,44,14000.07,1.22,32.12,9.91,2.45,3.81
2024-04-29,Facebook Ads - Week 18,Facebook Ads,1942.93,129528,3033,88,16279.18,0.64,22.08,8.38,2.34,2.9
2024-04-29,LinkedIn Ads - Week 18,LinkedIn Ads,1148.38,23924,745,39,20996.54,1.54,29.45,18.28,3.11,5.23
2024-04-29,Email Marketing - Week 18,Email Marketing,294.45,14722,940,58,12250.46,0.31,5.08,41.6,6.39,6.17
2024-05-06,Google Ads - Week 19,Google Ads,1609.51,53650,1505,66,22101.02,1.07,24.39,13.73,2.81,4.39
2024-05-06,Facebook Ads - Week 19,Facebook Ads,1590.55,106036,2042,49,9330.63,0.78,32.46,5.87,1.93,2.4
2024-05-06,LinkedIn Ads - Week 19,LinkedIn Ads,1186.05,24709,798,43,24223.76,1.49,27.58,20.42,3.23,5.39
2024-05-06,Email Marketing - Week 19,Email Marketing,282.03,14101,866,51,11364.98,0.33,5.53,40.3,6.14,5.89
2024-05-13,Google Ads - Week 20,Google Ads,1531.98,51066,1370,57,17143.55,1.12,26.88,11.19,2.68,4.16
2024-05-13,Facebook Ads - Week 20,Facebook Ads,1686.27,112417,2306,59,11472.37,0.73,28.58,6.8,2.05,2.56
2024-05-13,LinkedIn Ads - Week 20,LinkedIn Ads,1093.14,22773,681,34,19062.81,1.61,32.15,17.44,2.99,4.99
2024-05-13,Email Marketing - Week 20,Email Marketing,298.95,14947,978,61,12897.92,0.31,4.9,43.14,6.54,6.24
2024-05-20,Google Ads - Week 21,Google Ads,1375.01,45833,1109,41,12135.51,1.24,33.54,8.83,2.42,3.7
2024-05-20,Facebook Ads - Week 21,Facebook Ads,1647.6,109839,2211,55,9074.63,0.75,29.96,5.51,2.01,2.49
2024-05-20,LinkedIn Ads - Week 21,LinkedIn Ads,1303.51,27156,973,59,35509.28,1.34,22.09,27.24,3.58,6.06
2024-05-20,Email Marketing - Week 21,Email Marketing,276.57,13828,841,49,10586.99,0.33,5.64,38.28,6.08,5.83
2024-05-27,Google Ads - Week 22,Google Ads,1688.3,56276,1679,78,27358.17,1.01,21.64,16.2,2.98,4.65
2024-05-27,Facebook Ads - Week 22,Facebook Ads,1760.65,117376,2537,68,11107.64,0.69,25.89,6.31,2.16,2.68
2024-05-27,LinkedIn Ads - Week 22,LinkedIn Ads,1190.8,24808,816,45,26282.43,1.46,26.46,22.07,3.29,5.51
2024-05-27,Email Marketing - Week 22,Email Marketing,270.76,13537,810,46,10459.09,0.33,5.89,38.63,5.98,5.68
2024-06-03,Google Ads - Week 23,Google Ads,1305.74,43524,1009,36,12198.31,1.29,36.27,9.34,2.32,3.57
2024-06-03,Facebook Ads - Week 23,Facebook Ads,1789.16,119277,2631,72,12895.76,0.68,24.85,7.21,2.21,2.74
2024-06-03,LinkedIn Ads - Week 23,LinkedIn Ads,1023.47,21322,605,29,17920.73,1.69,35.29,17.51,2.84,4.79
2024-06-03,Email Marketing - Week 23,Email Marketing,294.13,14706,960,60,12136.24,0.31,4.9,41.26,6.53,6.25
2024-06-10,Google Ads - Week 24,Google Ads,1303.17,43438,1009,36,10786.27,1.29,36.2,8.28,2.32,3.57
2024-06-10,Facebook Ads - Week 24,Facebook Ads,1770.39,118026,2588,70,12110.44,0.68,25.29,6.84,2.19,2.7
2024-06-10,LinkedIn Ads - Week 24,LinkedIn Ads,1137.62,23700,751,40,23946.55,1.51,28.44,21.05,3.17,5.33
2024-06-10,Email Marketing - Week 24,Email Marketing,338.39,16919,1276,93,20424.23,0.27,3.64,60.36,7.54,7.29
2024-06-17,Google Ads - Week 25,Google Ads,1492.18,49739,1330,55,18676.34,1.12,27.13,12.52,2.67,4.14
2024-06-17,Facebook Ads - Week 25,Facebook Ads,1806.4,120426,2707,76,12589.78,0.67,23.77,6.97,2.25,2.81
2024-06-17,LinkedIn Ads - Week 25,LinkedIn Ads,1223.23,25483,872,50,26722.8,1.4,24.46,21.85,3.42,5.73
2024-06-17,Email Marketing - Week 25,Email Marketing,293.24,14661,963,61,12754.57,0.3,4.81,43.5,6.57,6.33
2024-06-24,Google Ads - Week 26,Google Ads,1406.64,46888,1187,46,15807.39,1.19,30.58,11.24,2.53,3.88
2024-06-24,Facebook Ads - Week 26,Facebook Ads,1798.14,119876,2694,75,14135.1,0.67,23.98,7.86,2.25,2.78
2024-06-24,LinkedIn Ads - Week 26,LinkedIn Ads,1179.37,24570,814,45,25467.86,1.45,26.21,21.59,3.31,5.53
2024-06-24,Email Marketing - Week 26,Email Marketing,269.63,13481,817,47,10480.11,0.33,5.74,38.87,6.06,5.75
2024-07-01,Google Ads - Week 27,Google Ads,1539.98,51332,1429,62,18115.13,1.08,24.84,11.76,2.78,4.34
2024-07-01,Facebook Ads - Week 27,Facebook Ads,1697.61,113174,2412,64,10851.61,0.7,26.53,6.39,2.13,2.65
2024-07-01,LinkedIn Ads - Week 27,LinkedIn Ads,1162.58,24220,795,44,25967.42,1.46,26.42,22.34,3.28,5.53
2024-07-01,Email Marketing - Week 27,Email Marketing,306.8,15340,1063,71,16068.98,0.29,4.32,52.38,6.93,6.68
2024-07-08,Google Ads - Week 28,Google Ads,1558.1,51936,1469,64,20193.33,1.06,24.35,12.96,2.83,4.36
2024-07-08,Facebook Ads - Week 28,Facebook Ads,2054.7,136980,3549,114,19869.33,0.58,18.02,9.67,2.59,3.21
2024-07-08,LinkedIn Ads - Week 28,LinkedIn Ads,1239.45,25821,908,54,31790.52,1.37,22.95,25.65,3.52,5.95
2024-07-08,Email Marketing - Week 28,Email Marketing,326.13,16306,1207,86,18744.45,0.27,3.79,57.48,7.4,7.13
2024-07-15,Google Ads - Week 29,Google Ads,1325.47,44182,1068,40,12882.6,1.24,33.14,9.72,2.42,3.75
2024-07-15,Facebook Ads - Week 29,Facebook Ads,1829.22,121947,2825,81,14520.78,0.65,22.58,7.94,2.32,2.87
2024-07-15,LinkedIn Ads - Week 29,LinkedIn Ads,1227.88,25580,895,53,30932.38,1.37,23.17,25.19,3.5,5.92
2024-07-15,Email Marketing - Week 29,Email Marketing,276.06,13802,868,52,11861.57,0.32,5.31,42.97,6.29,5.99
2024-07-22,Google Ads - Week 30,Google Ads,1593.99,53133,1551,70,20893.49,1.03,22.77,13.11,2.92,4.51
2024-07-22,Facebook Ads - Week 30,Facebook Ads,1910.31,127353,3095,94,17056.38,0.62,20.32,8.93,2.43,3.04
2024-07-22,LinkedIn Ads - Week 30,LinkedIn Ads,1167.46,24321,812,46,26797.75,1.44,25.38,22.95,3.34,5.67
2024-07-22,Email Marketing - Week 30,Email Marketing,336.41,16820,1295,96,18830.25,0.26,3.5,55.97,7.7,7.41
2024-07-29,Google Ads - Week 31,Google Ads,1407.66,46922,1215,49,14980.47,1.16,28.73,10.64,2.59,4.03
2024-07-29,Facebook Ads - Week 31,Facebook Ads,2036.46,135763,3532,114,21654.67,0.58,17.86,10.63,2.6,3.23
2024-07-29,LinkedIn Ads - Week 31,LinkedIn Ads,1127.11,23481,760,41,24974.15,1.48,27.49,22.16,3.24,5.39
2024-07-29,Email Marketing - Week 31,Email Marketing,336.08,16804,1298,96,20845.41,0.26,3.5,62.03,7.72,7.4
2024-08-05,Google Ads - Week 32,Google Ads,1600.89,53362,1578,72,23421.72,1.01,22.23,14.63,2.96,4.56
2024-08-05,Facebook Ads - Week 32,Facebook Ads,1766.54,117769,2669,75,13664.81,0.66,23.55,7.74,2.27,2.81
2024-08-05,LinkedIn Ads - Week 32,LinkedIn Ads,1335.66,27826,1073,70,43229.95,1.24,19.08,32.37,3.86,6.52
2024-08-05,Email Marketing - Week 32,Email Marketing,335.08,16754,1296,96,19468.89,0.26,3.49,58.1,7.74,7.41
2024-08-12,Google Ads - Week 33,Google Ads,1594.49,53149,1572,72,22342.02,1.01,22.15,14.01,2.96,4.58
2024-08-12,Facebook Ads - Week 33,Facebook Ads,1810.75,120716,2817,82,16074.96,0.64,22.08,8.88,2.33,2.91
2024-08-12,LinkedIn Ads - Week 33,LinkedIn Ads,1287.08,26814,1000,63,39043.63,1.29,20.43,30.34,3.73,6.3
2024-08-12,Email Marketing - Week 33,Email Marketing,259.62,12981,781,45,8776.14,0.33,5.77,33.8,6.02,5.76
2024-08-19,Google Ads - Week 34,Google Ads,1473.5,49116,1349,57,18545.73,1.09,25.85,12.59,2.75,4.23
2024-08-19,Facebook Ads - Week 34,Facebook Ads,1924.81,128320,3197,99,18209.2,0.6,19.44,9.46,2.49,3.1
2024-08-19,LinkedIn Ads - Week 34,LinkedIn Ads,1342.99,27978,1094,72,44647.52,1.23,18.65,33.24,3.91,6.58
2024-08-19,Email Marketing - Week 34,Email Marketing,330.47,16523,1272,94,21003.37,0.26,3.52,63.56,7.7,7.39
2024-08-26,Google Ads - Week 35,Google Ads,1409.66,46988,1239,51,16452.02,1.14,27.64,11.67,2.64,4.12
2024-08-26,Facebook Ads - Week 35,Facebook Ads,1875.22,125014,3047,92,17908.99,0.62,20.38,9.55,2.44,3.02
2024-08-26,LinkedIn Ads - Week 35,LinkedIn Ads,1182.67,24638,852,50,26575.31,1.39,23.65,22.47,3.46,5.87
2024-08-26,Email Marketing - Week 35,Email Marketing,256.29,12814,768,44,8922.45,0.33,5.82,34.81,5.99,5.73
2024-09-02,Google Ads - Week 36,Google Ads,1536.27,51208,1478,66,20272.03,1.04,23.28,13.2,2.89,4.47
2024-09-02,Facebook Ads - Week 36,Facebook Ads,2051.36,136757,3662,122,23828.53,0.56,16.81,11.62,2.68,3.33
2024-09-02,LinkedIn Ads - Week 36,LinkedIn Ads,1311.92,27331,1053,68,41726.79,1.25,19.29,31.81,3.85,6.46
2024-09-02,Email Marketing - Week 36,Email Marketing,326.53,16326,1252,92,18184.41,0.26,3.55,55.69,7.67,7.35
2024-09-09,Google Ads - Week 37,Google Ads,1498.35,49945,1412,62,21323.43,1.06,24.17,14.23,2.83,4.39
2024-09-09,Facebook Ads - Week 37,Facebook Ads,1812.46,120830,2871,85,14967.13,0.63,21.32,8.26,2.38,2.96
2024-09-09,LinkedIn Ads - Week 37,LinkedIn Ads,1208.41,25175,897,54,28707.91,1.35,22.38,23.76,3.56,6.02
2024-09-09,Email Marketing - Week 37,Email Marketing,320.35,16017,1210,88,18990.77,0.26,3.64,59.28,7.55,7.27
2024-09-16,Google Ads - Week 38,Google Ads,1369.46,45648,1185,48,15368.53,1.16,28.53,11.22,2.6,4.05
2024-09-16,Facebook Ads - Week 38,Facebook Ads,1936.07,129071,3290,104,20026.36,0.59,18.62,10.34,2.55,3.16
2024-09-16,LinkedIn Ads - Week 38,LinkedIn Ads,1061.07,22105,694,37,19665.58,1.53,28.68,18.53,3.14,5.33
2024-09-16,Email Marketing - Week 38,Email Marketing,277.12,13855,909,57,13133.66,0.3,4.86,47.39,6.56,6.27
2024-09-23,Google Ads - Week 39,Google Ads,1496.26,49875,1420,63,20316.32,1.05,23.75,13.58,2.85,4.44
2024-09-23,Facebook Ads - Week 39,Facebook Ads,1678.56,111903,2483,68,13259.43,0.68,24.68,7.9,2.22,2.74
2024-09-23,LinkedIn Ads - Week 39,LinkedIn Ads,1227.52,25573,933,57,35622.2,1.32,21.54,29.02,3.65,6.11
2024-09-23,Email Marketing - Week 39,Email Marketing,257.04,12851,786,46,10229.8,0.33,5.59,39.8,6.12,5.85
2024-09-30,Google Ads - Week 40,Google Ads,1570.51,52350,1571,73,25072.13,1.0,21.51,15.96,3.0,4.65
2024-09-30,Facebook Ads - Week 40,Facebook Ads,1985.6,132373,3489,114,20819.01,0.57,17.42,10.48,2.64,3.27
2024-09-30,LinkedIn Ads - Week 40,LinkedIn Ads,1324.53,27594,1091,73,45163.18,1.21,18.14,34.1,3.95,6.69
2024-09-30,Email Marketing - Week 40,Email Marketing,295.08,14753,1040,70,14926.65,0.28,4.22,50.59,7.05,6.73
2024-10-07,Google Ads - Week 41,Google Ads,1441.68,48056,1330,57,16955.2,1.08,25.29,11.76,2.77,4.29
2024-10-07,Facebook Ads - Week 41,Facebook Ads,1995.18,133011,3538,117,22848.46,0.56,17.05,11.45,2.66,3.31
2024-10-07,LinkedIn Ads - Week 41,LinkedIn Ads,1230.67,25639,946,59,32310.6,1.3,20.86,26.25,3.69,6.24
2024-10-07,Email Marketing - Week 41,Email Marketing,326.04,16301,1275,96,18504.58,0.26,3.4,56.76,7.82,7.53
2024-10-14,Google Ads - Week 42,Google Ads,1648.08,54935,1745,86,26491.2,0.94,19.16,16.07,3.18,4.93
2024-10-14,Facebook Ads - Week 42,Facebook Ads,1802.48,120165,2899,87,16445.69,0.62,20.72,9.12,2.41,3.0
2024-10-14,LinkedIn Ads - Week 42,LinkedIn Ads,1291.64,26909,1047,69,39737.29,1.23,18.72,30.76,3.89,6.59
2024-10-14,Email Marketing - Week 42,Email Marketing,322.41,16120,1252,94,20801.23,0.26,3.43,64.52,7.77,7.51
2024-10-21,Google Ads - Week 43,Google Ads,1576.02,52534,1602,76,22837.25,0.98,20.74,14.49,3.05,4.74
2024-10-21,Facebook Ads - Week 43,Facebook Ads,1893.6,126240,3213,102,16597.35,0.59,18.56,8.76,2.55,3.17
2024-10-21,LinkedIn Ads - Week 43,LinkedIn Ads,1287.99,26833,1045,69,36993.37,1.23,18.67,28.72,3.89,6.6
2024-10-21,Email Marketing - Week 43,Email Marketing,276.7,13835,926,59,12599.37,0.3,4.69,45.53,6.69,6.37
2024-10-28,Google Ads - Week 44,Google Ads,1279.7,42656,1061,41,14323.17,1.21,31.21,11.19,2.49,3.86
2024-10-28,Facebook Ads - Week 44,Facebook Ads,1817.62,121174,2973,91,17535.88,0.61,19.97,9.65,2.45,3.06
2024-10-28,LinkedIn Ads - Week 44,LinkedIn Ads,1374.51,28635,1195,84,46843.05,1.15,16.36,34.08,4.17,7.03
2024-10-28,Email Marketing - Week 44,Email Marketing,313.17,15658,1191,87,17594.55,0.26,3.6,56.18,7.61,7.3
2024-11-04,Google Ads - Week 45,Google Ads,1861.4,62046,1610,65,21729.79,1.16,28.64,11.67,2.59,4.04
2024-11-04,Facebook Ads - Week 45,Facebook Ads,2173.95,144930,3050,80,13130.12,0.71,27.17,6.04,2.1,2.62
2024-11-04,LinkedIn Ads - Week 45,LinkedIn Ads,1695.68,35326,1305,81,50046.4,1.3,20.93,29.51,3.69,6.21
2024-11-04,Email Marketing - Week 45,Email Marketing,457.5,22874,1823,140,31490.84,0.25,3.27,68.83,7.97,7.68
2024-11-11,Google Ads - Week 46,Google Ads,2236.82,74560,2334,114,33143.66,0.96,19.62,14.82,3.13,4.88
2024-11-11,Facebook Ads - Week 46,Facebook Ads,2389.77,159318,3701,107,20721.14,0.65,22.33,8.67,2.32,2.89
2024-11-11,LinkedIn Ads - Week 46,LinkedIn Ads,1578.87,32893,1136,66,39923.24,1.39,23.92,25.29,3.45,5.81
2024-11-11,Email Marketing - Week 46,Email Marketing,383.03,19151,1283,83,15929.9,0.3,4.61,41.59,6.7,6.47
2024-11-18,Google Ads - Week 47,Google Ads,2001.25,66708,1876,82,27274.7,1.07,24.41,13.63,2.81,4.37
2024-11-18,Facebook Ads - Week 47,Facebook Ads,2736.99,182465,4875,162,29137.78,0.56,16.89,10.65,2.67,3.32
2024-11-18,LinkedIn Ads - Week 47,LinkedIn Ads,1619.07,33730,1199,72,40941.98,1.35,22.49,25.29,3.55,6.01
2024-11-18,Email Marketing - Week 47,Email Marketing,472.29,23614,1959,157,30193.04,0.24,3.01,63.93,8.3,8.01
2024-11-25,Google Ads - Week 48,Google Ads,2219.83,73994,2318,113,36229.84,0.96,19.64,16.32,3.13,4.87
2024-11-25,Facebook Ads - Week 48,Facebook Ads,2595.29,173019,4401,139,25362.02,0.59,18.67,9.77,2.54,3.16
2024-11-25,LinkedIn Ads - Week 48,LinkedIn Ads,1533.33,31944,1080,62,34104.42,1.42,24.73,22.24,3.38,5.74
2024-11-25,Email Marketing - Week 48,Email Marketing,434.95,21747,1668,123,26885.49,0.26,3.54,61.81,7.67,7.37
2024-12-02,Google Ads - Week 49,Google Ads,2179.78,72659,2244,108,34867.95,0.97,20.18,16.0,3.09,4.81
2024-12-02,Facebook Ads - Week 49,Facebook Ads,2879.42,191961,5439,192,37854.07,0.53,15.0,13.15,2.83,3.53
2024-12-02,LinkedIn Ads - Week 49,LinkedIn Ads,1852.14,38586,1582,110,62909.38,1.17,16.84,33.97,4.1,6.95
2024-12-02,Email Marketing - Week 49,Email Marketing,403.21,20160,1439,99,22684.49,0.28,4.07,56.26,7.14,6.88
2024-12-09,Google Ads - Week 50,Google Ads,2068.73,68957,2029,93,28250.04,1.02,22.24,13.66,2.94,4.58
2024-12-09,Facebook Ads - Week 50,Facebook Ads,2633.9,175593,4569,148,28562.2,0.58,17.8,10.84,2.6,3.24
2024-12-09,LinkedIn Ads - Week 50,LinkedIn Ads,1841.49,38364,1570,109,59925.08,1.17,16.89,32.54,4.09,6.94
2024-12-09,Email Marketing - Week 50,Email Marketing,418.41,20920,1556,111,21845.84,0.27,3.77,52.21,7.44,7.13
2024-12-16,Google Ads - Week 51,Google Ads,2003.43,66781,1911,85,29252.08,1.05,23.57,14.6,2.86,4.45
2024-12-16,Facebook Ads - Week 51,Facebook Ads,2218.55,147903,3255,89,15347.73,0.68,24.93,6.92,2.2,2.73
2024-12-16,LinkedIn Ads - Week 51,LinkedIn Ads,1626.02,33875,1229,75,45055.93,1.32,21.68,27.71,3.63,6.1
2024-12-16,Email Marketing - Week 51,Email Marketing,362.37,18118,1172,73,14207.92,0.31,4.96,39.21,6.47,6.23
2024-12-23,Google Ads - Week 52,Google Ads,2105.08,70169,2118,99,30032.54,0.99,21.26,14.27,3.02,4.67
2024-12-23,Facebook Ads - Week 52,Facebook Ads,2509.54,167302,4181,130,23198.46,0.6,19.3,9.24,2.5,3.11
2024-12-23,LinkedIn Ads - Week 52,LinkedIn Ads,1859.05,38730,1613,114,66711.14,1.15,16.31,35.88,4.16,7.07
2024-12-23,Email Marketing - Week 52,Email Marketing,410.15,20507,1507,107,23664.1,0.27,3.83,57.7,7.35,7.1
