Date,MRR,Active Customers,New Signups,Churned Customers,Churn Rate,Free Users,Pro Users,Enterprise Users,Active Users,Expansion Revenue
2024-06-19,30684,562,4,0,0.0,196,281,85,458,0
2024-06-20,30932,565,3,0,0.0,197,282,86,424,0
2024-06-21,31030,568,3,0,0.0,198,284,86,480,781.16
2024-06-22,31030,569,1,0,0.0,199,284,86,427,0
2024-06-23,31030,569,0,0,0.0,199,284,86,425,0
2024-06-24,31327,573,4,0,0.0,200,286,87,484,0
2024-06-25,31624,577,4,0,0.0,201,288,88,396,1788.55
2024-06-26,31722,581,4,0,0.0,203,290,88,459,0
2024-06-27,32019,585,4,0,0.0,204,292,89,418,0
2024-06-28,32068,587,3,1,0.17,205,293,89,406,0
2024-06-29,32068,587,1,1,0.17,205,293,89,441,0
2024-06-30,31869,586,0,1,0.17,205,293,88,421,0
2024-07-01,32166,590,4,0,0.0,206,295,89,461,0
2024-07-02,32414,593,3,0,0.0,207,296,90,433,0
2024-07-03,32711,597,4,0,0.0,208,298,91,413,0
2024-07-04,32610,600,3,0,0.0,210,300,90,484,0
2024-07-05,32858,602,2,0,0.0,210,301,91,455,0
2024-07-06,32858,602,0,0,0.0,210,301,91,419,0
2024-07-07,32858,603,1,0,0.0,211,301,91,485,0
2024-07-08,33106,605,2,0,0.0,211,302,92,419,0
2024-07-09,33155,607,2,0,0.0,212,303,92,475,0
2024-07-10,33253,610,3,0,0.0,213,305,92,404,0
2024-07-11,33302,612,2,0,0.0,214,306,92,467,0
2024-07-12,33599,616,4,0,0.0,215,308,93,453,0
2024-07-13,33798,617,1,0,0.0,215,308,94,443,0
2024-07-14,33648,618,1,0,0.0,216,309,93,490,0
2024-07-15,33896,621,3,0,0.0,217,310,94,448,0
2024-07-16,33945,623,2,0,0.0,218,311,94,436,0
2024-07-17,34193,625,2,0,0.0,218,312,95,487,1593.45
2024-07-18,34291,628,3,0,0.0,219,314,95,479,0
2024-07-19,34588,633,5,0,0.0,221,316,96,478,0
2024-07-20,34637,634,1,0,0.0,221,317,96,439,0
2024-07-21,34637,634,0,0,0.0,221,317,96,488,0
2024-07-22,34735,638,4,0,0.0,223,319,96,418,0
2024-07-23,35032,643,5,0,0.0,225,321,97,479,0
2024-07-24,35329,647,4,0,0.0,226,323,98,542,0
2024-07-25,35626,651,4,0,0.0,227,325,99,438,1654.95
2024-07-26,35724,654,3,0,0.0,228,327,99,513,0
2024-07-27,35724,654,0,0,0.0,228,327,99,431,0
2024-07-28,35724,654,1,1,0.15,228,327,99,488,0
2024-07-29,35972,657,4,1,0.15,229,328,100,548,0
2024-07-30,35822,658,2,1,0.15,230,329,99,501,0
2024-07-31,36070,661,4,1,0.15,231,330,100,482,0
2024-08-01,36217,666,5,0,0.0,233,333,100,444,0
2024-08-02,36465,669,3,0,0.0,234,334,101,439,0
2024-08-03,36465,669,0,0,0.0,234,334,101,528,0
2024-08-04,36514,670,1,0,0.0,234,335,101,511,0
2024-08-05,36762,673,3,0,0.0,235,336,102,522,0
2024-08-06,37059,677,4,0,0.0,236,338,103,467,0
2024-08-07,37157,681,4,0,0.0,238,340,103,490,0
2024-08-08,37255,684,3,0,0.0,239,342,103,485,0
2024-08-09,37552,688,4,0,0.0,240,344,104,532,0
2024-08-10,37552,688,0,0,0.0,240,344,104,574,0
2024-08-11,37552,688,0,0,0.0,240,344,104,483,0
2024-08-12,37650,692,4,0,0.0,242,346,104,485,1845.03
2024-08-13,37898,695,3,0,0.0,243,347,105,533,0
2024-08-14,38195,699,4,0,0.0,244,349,106,492,0
2024-08-15,38293,703,4,0,0.0,246,351,106,494,0
2024-08-16,38590,707,4,0,0.0,247,353,107,480,992.28
2024-08-17,38639,708,1,0,0.0,247,354,107,592,0
2024-08-18,38639,709,1,0,0.0,248,354,107,534,0
2024-08-19,38737,712,3,0,0.0,249,356,107,463,0
2024-08-20,38985,715,3,0,0.0,250,357,108,481,0
2024-08-21,39083,718,3,0,0.0,251,359,108,541,0
2024-08-22,39380,722,4,0,0.0,252,361,109,537,0
2024-08-23,39628,725,3,0,0.0,253,362,110,477,0
2024-08-24,39628,725,0,0,0.0,253,362,110,492,0
2024-08-25,39478,726,1,0,0.0,254,363,109,578,0
2024-08-26,39726,729,3,0,0.0,255,364,110,541,0
2024-08-27,40023,733,4,0,0.0,256,366,111,504,0
2024-08-28,40121,736,4,1,0.14,257,368,111,560,0
2024-08-29,40219,740,5,1,0.14,259,370,111,620,0
2024-08-30,40467,742,3,1,0.13,259,371,112,530,0
2024-08-31,40418,741,0,1,0.13,259,370,112,536,0
2024-09-01,40418,741,0,0,0.0,259,370,112,505,0
2024-09-02,40715,745,4,0,0.0,260,372,113,552,0
2024-09-03,40813,749,4,0,0.0,262,374,113,521,0
2024-09-04,41110,753,4,0,0.0,263,376,114,610,0
2024-09-05,41407,757,4,0,0.0,264,378,115,611,0
2024-09-06,41306,760,4,1,0.13,266,380,114,580,0
2024-09-07,41505,761,1,0,0.0,266,380,115,617,1494.0
2024-09-08,41554,762,1,0,0.0,266,381,115,535,0
2024-09-09,41652,766,4,0,0.0,268,383,115,532,0
2024-09-10,42148,771,5,0,0.0,269,385,117,626,0
2024-09-11,42246,774,3,0,0.0,270,387,117,619,0
2024-09-12,42344,778,4,0,0.0,272,389,117,526,0
2024-09-13,42592,781,3,0,0.0,273,390,118,528,0
2024-09-14,42393,780,0,1,0.13,273,390,117,542,0
2024-09-15,42393,780,0,0,0.0,273,390,117,614,0
2024-09-16,42641,782,3,1,0.13,273,391,118,509,0
2024-09-17,42889,785,3,0,0.0,274,392,119,628,0
2024-09-18,42938,787,2,0,0.0,275,393,119,569,1912.34
2024-09-19,43036,790,3,0,0.0,276,395,119,635,0
2024-09-20,43085,792,2,0,0.0,277,396,119,660,0
2024-09-21,43284,793,1,0,0.0,277,396,120,665,0
2024-09-22,43284,793,1,1,0.13,277,396,120,518,0
2024-09-23,43333,795,3,1,0.13,278,397,120,563,0
2024-09-24,43431,798,4,1,0.13,279,399,120,664,0
2024-09-25,43480,800,3,1,0.12,280,400,120,536,0
2024-09-26,43777,804,4,0,0.0,281,402,121,564,0
2024-09-27,44025,807,4,1,0.12,282,403,122,673,1039.64
2024-09-28,44025,807,1,1,0.12,282,403,122,549,0
2024-09-29,43826,806,0,1,0.12,282,403,121,534,0
2024-09-30,44074,809,4,1,0.12,283,404,122,637,0
2024-10-01,44172,812,3,0,0.0,284,406,122,610,0
2024-10-02,44420,815,3,0,0.0,285,407,123,603,0
2024-10-03,44518,818,3,0,0.0,286,409,123,545,1296.37
2024-10-04,44717,819,2,1,0.12,286,409,124,693,0
2024-10-05,44567,820,1,0,0.0,287,410,123,683,0
2024-10-06,44567,820,1,1,0.12,287,410,123,612,0
2024-10-07,45063,825,5,0,0.0,288,412,125,594,0
2024-10-08,45161,828,3,0,0.0,289,414,125,637,0
2024-10-09,45409,831,3,0,0.0,290,415,126,569,0
2024-10-10,45507,835,4,0,0.0,292,417,126,635,0
2024-10-11,45804,839,4,0,0.0,293,419,127,564,0
2024-10-12,45654,840,1,0,0.0,294,420,126,693,0
2024-10-13,45654,840,1,1,0.12,294,420,126,546,0
2024-10-14,46150,845,5,0,0.0,295,422,128,624,0
2024-10-15,46248,849,4,0,0.0,297,424,128,638,0
2024-10-16,46346,852,3,0,0.0,298,426,128,582,0
2024-10-17,46594,855,3,0,0.0,299,427,129,615,0
2024-10-18,46842,857,3,1,0.12,299,428,130,642,0
2024-10-19,46643,856,0,1,0.12,299,428,129,592,0
2024-10-20,46643,856,0,0,0.0,299,428,129,588,0
2024-10-21,46741,860,4,0,0.0,301,430,129,620,0
2024-10-22,47038,864,4,0,0.0,302,432,130,576,0
2024-10-23,47286,867,4,1,0.12,303,433,131,724,0
2024-10-24,47335,868,2,1,0.12,303,434,131,729,0
2024-10-25,47583,871,3,0,0.0,304,435,132,698,0
2024-10-26,47384,870,0,1,0.11,304,435,131,690,0
2024-10-27,47384,870,1,1,0.11,304,435,131,681,0
2024-10-28,47433,872,3,1,0.11,305,436,131,612,0
2024-10-29,47681,875,4,1,0.11,306,437,132,604,0
2024-10-30,47779,878,4,1,0.11,307,439,132,618,0
2024-10-31,48027,881,4,1,0.11,308,440,133,716,1775.76
2024-11-01,48125,884,4,1,0.11,309,442,133,640,0
2024-11-02,48125,884,1,1,0.11,309,442,133,669,0
2024-11-03,48125,884,1,1,0.11,309,442,133,627,1645.36
2024-11-04,48174,886,3,1,0.11,310,443,133,586,0
2024-11-05,48422,888,3,1,0.11,310,444,134,577,0
2024-11-06,48520,892,5,1,0.11,312,446,134,668,0
2024-11-07,48768,895,4,1,0.11,313,447,135,720,0
2024-11-08,49016,897,3,1,0.11,313,448,136,717,0
2024-11-09,49016,897,0,0,0.0,313,448,136,636,0
2024-11-10,49016,897,1,1,0.11,313,448,136,609,774.53
2024-11-11,49065,899,2,0,0.0,314,449,136,694,0
2024-11-12,49114,901,3,1,0.11,315,450,136,754,0
2024-11-13,49212,904,4,1,0.11,316,452,136,603,0
2024-11-14,49460,907,4,1,0.11,317,453,137,700,0
2024-11-15,49757,911,4,0,0.0,318,455,138,621,0
2024-11-16,49607,912,1,0,0.0,319,456,137,752,0
2024-11-17,49806,913,1,0,0.0,319,456,138,593,1904.37
2024-11-18,50103,917,4,0,0.0,320,458,139,668,0
2024-11-19,50201,921,4,0,0.0,322,460,139,631,0
2024-11-20,50250,923,3,1,0.11,323,461,139,772,0
2024-11-21,50498,925,3,1,0.11,323,462,140,632,0
2024-11-22,50348,926,2,1,0.11,324,463,139,700,0
2024-11-23,50348,926,1,1,0.11,324,463,139,760,0
2024-11-24,50348,926,1,1,0.11,324,463,139,694,0
2024-11-25,50645,930,4,0,0.0,325,465,140,756,0
2024-11-26,50893,933,4,1,0.11,326,466,141,771,0
2024-11-27,50991,936,4,1,0.11,327,468,141,641,0
2024-11-28,51239,939,4,1,0.11,328,469,142,630,0
2024-11-29,51337,942,4,1,0.11,329,471,142,650,0
2024-11-30,51288,941,0,1,0.11,329,470,142,707,0
2024-12-01,51089,940,0,1,0.11,329,470,141,747,1215.31
2024-12-02,51337,943,4,1,0.11,330,471,142,616,0
2024-12-03,51585,945,3,1,0.11,330,472,143,694,0
2024-12-04,51683,949,4,0,0.0,332,474,143,787,0
2024-12-05,51781,952,4,1,0.11,333,476,143,765,0
2024-12-06,52029,954,3,1,0.1,333,477,144,707,0
2024-12-07,52029,954,1,1,0.1,333,477,144,782,0
2024-12-08,51980,953,0,1,0.1,333,476,144,653,0
2024-12-09,52277,957,4,0,0.0,334,478,145,696,0
2024-12-10,52326,959,3,1,0.1,335,479,145,656,0
2024-12-11,52375,961,3,1,0.1,336,480,145,663,0
2024-12-12,52672,965,4,0,0.0,337,482,146,690,0
2024-12-13,52770,969,4,0,0.0,339,484,146,715,0
2024-12-14,52819,970,1,0,0.0,339,485,146,682,0
2024-12-15,52770,969,0,1,0.1,339,484,146,823,1156.81
2024-12-16,53018,971,3,1,0.1,339,485,147,738,0
2024-12-17,53116,974,4,1,0.1,340,487,147,701,0
2024-12-18,53364,977,3,0,0.0,341,488,148,734,0
2024-12-19,53462,981,4,0,0.0,343,490,148,728,0
2024-12-20,53759,985,5,1,0.1,344,492,149,718,0
2024-12-21,53560,984,0,1,0.1,344,492,148,792,0
2024-12-22,53511,983,0,1,0.1,344,491,148,671,0
2024-12-23,53609,986,4,1,0.1,345,493,148,674,0
2024-12-24,53857,989,3,0,0.0,346,494,149,733,0
2024-12-25,54154,993,4,0,0.0,347,496,150,812,0
2024-12-26,54203,995,3,1,0.1,348,497,150,800,1815.89
2024-12-27,54451,997,3,1,0.1,348,498,151,656,0
2024-12-28,54451,997,1,1,0.1,348,498,151,766,0
2024-12-29,54451,997,1,1,0.1,348,498,151,717,0
2024-12-30,54301,998,3,2,0.2,349,499,150,806,0
